Date and Time,Agency Name (Crash Level) ,Area: County,Area: City,Roadway (From Crash Report),Intersection Name (from Crash Report),KABCO Severity,Manner of Collision (Crash Level) ,First Harmful Event (Crash Level) ,SHSP Emphasis Areas,# of Fatalities (Person Table),# Serious Injuries,# Visible Injuries,# Complaint Injuries,# of Vehicles,Operator / Driver Contributing Factor -old,Roadway Contributing Factors (Crash Level) ,Weather Conditions (Crash Level),Surface Condition (Crash Level) ,Light Conditions (Crash Level),Latitude ,Longitude
2/6/13 16:18,Atlanta Police Department,Fulton,Atlanta,3434 Roswell Rd,,(C) Possible Injury / Complaint,Head On,,"[""Pedestrian"",""Distracted Driver (Suspected)""]",0,0,0,1,1,"[""Other"",""Other""]",,(None),Dry,Daylight,33.847713,-84.382397
11/14/13 17:26,Atlanta Police Department,Fulton,Atlanta,35 14Th St,35 14Th St and W Peachtree St,(C) Possible Injury / Complaint,Angle (Other),,"[""Roadway Departure"",""Pedestrian"",""Older Driver (55-64)""]",0,0,0,1,1,"[""Improper Turn"",""No Contributing Factors""]",,Clear,Dry,Daylight,33.786664,-84.386597
10/18/13 14:15,Atlanta Police Department,Fulton,Atlanta,1199 Huff Rd,1199 Huff Rd and Ellsworth Industrial Blvd,(O) No Injury,Not a Collision with Motor Vehicle,,Pedestrian,0,0,0,0,1,"[""Failure to Yield"",""Failure to Yield""]",,Clear,Dry,Daylight,33.788904,-84.426362
3/12/13 8:13,Atlanta Police Department,Fulton,Atlanta,Ponce De Leon Ave,Seminole Ave and Ponce De Leon Ave,(K) Fatal Injury,Not a Collision with Motor Vehicle,,"[""Intersection Related"",""Distracted Driver (Confirmed)"",""Pedestrian""]",1,0,0,0,1,"[""Inattentive or Other Distraction (Distracted)"",""No Contributing Factors""]",,Clear,Dry,Daylight,33.773839,-84.350771
11/22/13 19:25,Atlanta Police Department,Fulton,Atlanta,Bolton Rd,Bolton Rd and James Jackson Pkwy,(A) Suspected Serious Injury,Not a Collision with Motor Vehicle,,"[""Intersection Related"",""Hit & Run"",""Pedestrian"",""Distracted Driver (Suspected)""]",0,1,0,0,1,"[""No Contributing Factors"",""Other""]",,Rain,Dry,Dark-Lighted,33.811221,-84.476519
11/11/13 18:08,Atlanta Police Department,Fulton,Atlanta,Cleveland Ave Sw   Beeler Dr,Beeler Dr and Cleveland Ave Sw   Beeler Dr,(B) Suspected Minor/Visible Injury,Not a Collision with Motor Vehicle,,Pedestrian,0,0,1,0,1,"[""Failure to Yield"",""No Contributing Factors""]",,Clear,Dry,Dark-Lighted,33.681171,-84.401691
11/3/13 12:45,Atlanta Police Department,DeKalb,Atlanta,E Lake Blvd,E Lake Blvd and Glenwood Ave,(A) Suspected Serious Injury,Not a Collision with Motor Vehicle,,"[""Intersection Related"",""Distracted Driver (Confirmed)"",""Pedestrian""]",0,1,0,0,1,"[""Inattentive or Other Distraction (Distracted)"",""Other""]",,Clear,Dry,Daylight,33.74016,-84.313892
10/23/13 11:25,Atlanta Police Department,Fulton,Atlanta,Northside Dr,10Th St and Northside Dr,(C) Possible Injury / Complaint,Not a Collision with Motor Vehicle,,"[""Intersection Related"",""Pedestrian"",""Secondary Crash"",""Young Adult Driver (Age 20-24)""]",0,0,0,1,1,"[""Failure to Yield"",""No Contributing Factors""]",,Clear,Dry,Daylight,33.781554,-84.407566
11/20/13 11:28,Atlanta Police Department,Fulton,Atlanta,761 Sidney Marcus Blvd,,(C) Possible Injury / Complaint,Head On,,Pedestrian,0,0,0,1,1,"[""Failure to Yield"",""No Contributing Factors""]",,Clear,Dry,Daylight,33.825772,-84.364542
2/13/13 19:04,Atlanta Police Department,Fulton,Atlanta,I 75,I 75 and Howell Mill Rd,(B) Suspected Minor/Visible Injury,Not a Collision with Motor Vehicle,,Pedestrian,0,0,1,0,1,"[""Failure to Yield"",""No Contributing Factors""]",,Clear,Dry,Dark-Lighted,33.805619,-84.413096
4/5/13 13:04,Atlanta Police Department,Fulton,Atlanta,384 Peachtree St,384 Peachtree St and Ivan Allen Jr Blvd,(C) Possible Injury / Complaint,Not a Collision with Motor Vehicle,,"[""Roadway Departure"",""Distracted Driver (Confirmed)"",""Pedestrian""]",0,0,0,1,1,"[""Inattentive or Other Distraction (Distracted)"",""No Contributing Factors""]",,Cloudy,Dry,Daylight,33.764987,-84.385571
1/12/13 2:23,Atlanta Police Department,Fulton,Atlanta,782 Ponce De Leon Ave,,(C) Possible Injury / Complaint,Not a Collision with Motor Vehicle,,"[""Pedestrian"",""Distracted Driver (Suspected)"",""Older Driver (55-64)""]",0,0,0,1,1,"[""No Contributing Factors"",""Other""]",,Cloudy,Wet,Dark-Lighted,33.773805,-84.361742
11/6/13 18:02,Atlanta Police Department,Fulton,Atlanta,Ollie St,Ollie St and Martin L King Jr Dr,(B) Suspected Minor/Visible Injury,Angle (Other),,Pedestrian,0,0,1,0,1,Disregard Stop Sign/Signal,,Clear,Dry,Daylight,33.754799,-84.421295
2/7/13 7:40,Atlanta Police Department,Fulton,Atlanta,195 Fairburn Rd,195 Fairburn Rd and Martin L King Jr Dr,(O) No Injury,Rear End,,"[""Intersection Related"",""Pedestrian""]",0,0,0,0,2,"[""Failure to Yield"",""No Contributing Factors"",""No Contributing Factors""]",,Rain,Wet,Daylight,33.759574,-84.505422
7/27/13 12:08,Atlanta Police Department,Fulton,Atlanta,Benteen Park Dr,Custer Ave and Benteen Park Dr,(C) Possible Injury / Complaint,Angle (Other),,"[""Intersection Related"",""Pedestrian""]",0,0,0,1,1,"[""Failure to Yield"",""No Contributing Factors""]",,Clear,Dry,Daylight,33.717019,-84.361505
8/10/17 7:50,Atlanta Police Department,Fulton,Atlanta,Memorial Dr,Memorial Dr and Cherokee Ave,(O) No Injury,Not a Collision with Motor Vehicle,,"[""Intersection Related"",""Distracted Driver (Confirmed)"",""Pedestrian"",""Improper Occupant Protection""]",0,0,0,0,1,"[""Inattentive or Other Distraction (Distracted)"",""Other""]",,Clear,Dry,Daylight,33.746775,-84.373378
11/17/13 21:38,Georgia Tech Police Department,Fulton,Atlanta,Ferst Dr,Sixth St and Ferst Dr,(A) Suspected Serious Injury,Angle (Other),,"[""Intersection Related"",""Distracted Driver (Confirmed)"",""Bicycle"",""Improper Occupant Protection""]",0,1,0,0,2,"[""Inattentive or Other Distraction (Distracted)"",""No Contributing Factors""]",,Cloudy,Wet,Dark-Lighted,33.777238,-84.402399
5/6/13 17:40,Gsp Post 00,Fulton,Atlanta,I 20,,(C) Possible Injury / Complaint,Not a Collision with Motor Vehicle,,"[""Roadway Departure"",""Hit & Run"",""Pedestrian"",""Young Adult Driver (Age 20-24)"",""Distracted Driver (Suspected)""]",0,0,0,2,1,"[""Changed Lanes Improperly"",""No Contributing Factors""]",,Rain,Wet,Daylight,33.743925,-84.39003
5/27/13 10:15,Atlanta Police Department,Fulton,Atlanta,3930 Bakers Ferry Rd,,(A) Suspected Serious Injury,Angle (Other),,"[""Intersection Related"",""Pedestrian""]",0,1,0,0,1,"[""Disregard Stop Sign/Signal"",""No Contributing Factors""]",,Clear,Dry,Daylight,33.755605,-84.516582
1/11/13 22:50,Atlanta Police Department,Fulton,Atlanta,Ralph D Abernathy Blvd,Murphy Ave and Ralph D Abernathy Blvd,(O) No Injury,Angle (Other),,"[""Intersection Related"",""Hit & Run"",""Bicycle"",""Improper Occupant Protection""]",0,0,0,0,2,"[""No Contributing Factors"",""Other""]",,Rain,Wet,Dark-Lighted,33.738252,-84.4124
3/29/13 22:20,Atlanta Police Department,Fulton,Atlanta,Fair St,Fair St and Joseph E Lowery Blvd,(C) Possible Injury / Complaint,Not a Collision with Motor Vehicle,,"[""Intersection Related"",""Hit & Run"",""Pedestrian"",""Improper Occupant Protection""]",0,0,0,1,1,"[""Failure to Yield"",""No Contributing Factors""]",,Cloudy,Dry,Dark-Lighted,33.749073,-84.41754
7/12/13 19:34,Atlanta Police Department,Fulton,Atlanta,Augusta Ave,Oakland Ave and Augusta Ave,(A) Suspected Serious Injury,Angle (Other),,"[""Pedestrian"",""Young Adult Driver (Age 20-24)""]",0,1,0,0,1,"[""No Contributing Factors"",""Other""]",,Clear,Dry,Daylight,33.733698,-84.374945
8/29/13 6:03,Atlanta Police Department,Fulton,Atlanta,Moreland Ave,Moreland Ave and Mcpherson Ave,(A) Suspected Serious Injury,Not a Collision with Motor Vehicle,,"[""Intersection Related"",""Pedestrian"",""Young Adult Driver (Age 20-24)"",""Distracted Driver (Suspected)""]",0,1,0,0,1,"[""No Contributing Factors"",""Other""]",,Clear,Dry,Dark-Lighted,33.743288,-84.349236
10/18/13 2:09,Atlanta Police Department,Fulton,Atlanta,241 Peachtree St,,(B) Suspected Minor/Visible Injury,Not a Collision with Motor Vehicle,,"[""Intersection Related"",""Older Driver (65+)"",""Pedestrian""]",0,0,1,0,1,"[""Failure to Yield"",""No Contributing Factors""]",,Clear,Dry,Dark-Lighted,33.760701,-84.387567
11/3/13 15:50,Atlanta Police Department,Fulton,Atlanta,Monroe Dr,8Th St and Monroe Dr,(C) Possible Injury / Complaint,Angle (Other),,"[""Pedestrian"",""Older Driver (55-64)""]",0,0,0,2,1,"[""Failure to Yield"",""No Contributing Factors"",""No Contributing Factors""]",,Clear,Dry,Daylight,33.779493,-84.36944
3/6/13 21:17,Atlanta Police Department,Fulton,Atlanta,580 Cleveland Ave,Cleveland Ave and 580 Cleveland Ave,(O) No Injury,Not a Collision with Motor Vehicle,,"[""Pedestrian"",""Improper Occupant Protection""]",0,0,0,0,1,"[""Disregard Stop Sign/Signal"",""No Contributing Factors""]",,Clear,Dry,Dark-Lighted,33.681279,-84.407198
10/16/13 11:15,Atlanta Police Department,Fulton,Atlanta,Grandview Ave,Peachtree Rd and Grandview Ave,(C) Possible Injury / Complaint,Not a Collision with Motor Vehicle,,"[""Intersection Related"",""Hit & Run"",""Pedestrian""]",0,0,0,1,1,"[""Failure to Yield"",""No Contributing Factors""]",,Clear,Dry,Daylight,33.840663,-84.376486
5/11/13 10:30,Atlanta Police Department,Fulton,Atlanta,W Paces Ferry Rd,Moores Mill Rd and W Paces Ferry Rd,(B) Suspected Minor/Visible Injury,Not a Collision with Motor Vehicle,,"[""Intersection Related"",""Older Driver (65+)"",""Pedestrian""]",0,0,1,0,1,"[""Failure to Yield"",""No Contributing Factors""]",,Clear,Dry,Daylight,33.845585,-84.404564
4/2/13 15:12,Atlanta Police Department,Fulton,Atlanta,W Peachtree St,14Th St and W Peachtree St,(C) Possible Injury / Complaint,Not a Collision with Motor Vehicle,,"[""Intersection Related"",""Pedestrian""]",0,0,0,1,1,"[""Failure to Yield"",""No Contributing Factors""]",,Clear,Dry,Daylight,33.786674,-84.387808
5/18/13 8:05,Atlanta Police Department,Fulton,Atlanta,1888 Peachtree Rd,Collier Rd and 1888 Peachtree Rd,(C) Possible Injury / Complaint,Angle (Other),,"[""Intersection Related"",""Older Driver (65+)"",""Pedestrian""]",0,0,0,1,1,"[""Failure to Yield"",""No Contributing Factors""]",,Clear,Dry,Daylight,33.806726,-84.39393
1/19/13 18:51,Atlanta Police Department,Fulton,Atlanta,Moreland Ave,Custer Ave and Moreland Ave,(C) Possible Injury / Complaint,Angle (Other),,"[""Intersection Related"",""Hit & Run"",""Bicycle"",""Older Driver (55-64)"",""Improper Occupant Protection""]",0,0,0,1,4,"[""No Contributing Factors"",""No Contributing Factors"",""Other"",""Other""]",,Clear,Dry,Dark-Lighted,33.715692,-84.349518
1/20/13 15:11,Atlanta Police Department,Fulton,Atlanta,588 Cooper St,588 Cooper St and Ralph David Abernathy,(O) No Injury,Not a Collision with Motor Vehicle,,"[""Intersection Related"",""Hit & Run"",""Pedestrian"",""Distracted Driver (Suspected)""]",0,0,0,0,1,"[""Other"",""Other""]",,Clear,Dry,Daylight,33.736894,-84.397065
1/31/13 14:30,Atlanta Police Department,Fulton,Atlanta,Peachtree St,Peachtree St and John Portman Blvd,(C) Possible Injury / Complaint,Not a Collision with Motor Vehicle,,"[""Intersection Related"",""Hit & Run"",""Pedestrian"",""Improper Occupant Protection""]",0,0,0,1,1,"[""Failure to Yield"",""No Contributing Factors""]",,Clear,Dry,Daylight,33.760985,-84.387504
12/6/13 18:45,Atlanta Police Department,Fulton,Atlanta,Joseph E Lowery Blvd,Martin L King Jr Dr and Joseph E Lowery Blvd,(A) Suspected Serious Injury,Not a Collision with Motor Vehicle,,"[""Intersection Related"",""CMV Related"",""Pedestrian"",""Distracted Driver (Suspected)""]",0,1,0,0,1,"[""No Contributing Factors"",""No Contributing Factors""]",,Cloudy,Dry,Dark-Lighted,33.754729,-84.41752
2/27/13 17:30,Atlanta Police Department,Fulton,Atlanta,2264 Baker Rd,,(A) Suspected Serious Injury,Not a Collision with Motor Vehicle,,"[""Pedestrian"",""Distracted Driver (Suspected)""]",0,1,0,0,1,"[""No Contributing Factors"",""Other""]",,Clear,Dry,Daylight,33.770188,-84.461626
4/3/13 16:00,Atlanta Police Department,Fulton,Atlanta,850 Oak St,,(C) Possible Injury / Complaint,Not a Collision with Motor Vehicle,,"[""Pedestrian"",""Distracted Driver (Suspected)"",""Improper Occupant Protection""]",0,0,0,1,1,"[""No Contributing Factors"",""No Contributing Factors""]",,Cloudy,Dry,Daylight,33.738256,-84.415153
11/6/13 15:05,Atlanta Police Department,Fulton,Atlanta,Deering Rd,Deering Rd and Peachtree St,(B) Suspected Minor/Visible Injury,Angle (Other),,"[""Intersection Related"",""Bicycle"",""Improper Occupant Protection""]",0,0,1,0,2,"[""Failure to Yield"",""No Contributing Factors""]",,Clear,Dry,Daylight,33.801437,-84.392752
2/14/13 16:22,Atlanta Police Department,Fulton,Atlanta,Atwood St,Atwood St and Ralph D Abernathy Blvd,(C) Possible Injury / Complaint,Angle (Other),,"[""Intersection Related"",""Pedestrian"",""Young Adult Driver (Age 20-24)"",""Improper Occupant Protection""]",0,0,0,1,1,"[""Failure to Yield"",""No Contributing Factors""]",,Clear,Dry,Daylight,33.738781,-84.428984
1/18/13 16:15,Atlanta Police Department,Fulton,Atlanta,2212 Cheshire Bridge Rd,Woodland Ave and 2212 Cheshire Bridge Rd,(B) Suspected Minor/Visible Injury,Angle (Other),,"[""Pedestrian"",""Older Driver (55-64)""]",0,0,1,1,3,"[""Failure to Yield"",""No Contributing Factors"",""No Contributing Factors"",""No Contributing Factors""]",,Clear,Dry,Daylight,33.815383,-84.352831
9/3/13 18:00,Atlanta Police Department,Fulton,Atlanta,Westview Dr,Lee St and Westview Dr,(O) No Injury,Not a Collision with Motor Vehicle,,"[""Older Driver (65+)"",""Bicycle"",""Distracted Driver (Suspected)"",""Improper Occupant Protection""]",0,0,0,0,2,"[""No Contributing Factors"",""Other""]",,Clear,Dry,Daylight,33.744456,-84.414189
7/17/13 17:40,Atlanta Police Department,Fulton,Atlanta,864 Metropolitan Pkwy,Lillian Ave and 864 Metropolitan Pkwy,(B) Suspected Minor/Visible Injury,Head On,,"[""Intersection Related"",""Pedestrian""]",0,0,1,0,1,"[""Disregard Stop Sign/Signal"",""No Contributing Factors""]",,Rain,Wet,Daylight,33.731359,-84.408085
7/13/13 4:55,Atlanta Police Department,Fulton,Atlanta,1180 Peachtree,,(B) Suspected Minor/Visible Injury,Head On,,"[""Intersection Related"",""Pedestrian"",""Improper Occupant Protection""]",0,0,1,0,1,Failure to Yield,,Clear,Dry,Dark-Lighted,33.786591,-84.383147
4/12/13 23:53,Atlanta Police Department,DeKalb,Atlanta,Moreland Ave,Seaboard and Moreland Ave,(O) No Injury,Not a Collision with Motor Vehicle,,"[""Intersection Related"",""Pedestrian"",""Young Driver (Age 15-19)"",""Distracted Driver (Suspected)""]",0,0,0,0,1,"[""No Contributing Factors"",""Other""]",,Clear,Dry,Dark-Lighted,33.758443,-84.34912
5/7/13 8:00,Atlanta Police Department,Fulton,Atlanta,Ponce De Leon Ave,N Highland Ave and Ponce De Leon Ave,(O) No Injury,Not a Collision with Motor Vehicle,,"[""Intersection Related"",""Pedestrian"",""Distracted Driver (Suspected)"",""Improper Occupant Protection""]",0,0,0,0,1,,,Clear,Dry,Daylight,33.774013,-84.3525
8/24/13 17:06,Atlanta Police Department,Fulton,Atlanta,850 Peachtree St,Peachtree Pl and 850 Peachtree St,(O) No Injury,Not a Collision with Motor Vehicle,,"[""Pedestrian"",""Young Driver (Age 15-19)""]",0,0,0,0,1,"[""Failure to Yield"",""Failure to Yield""]",,Clear,Dry,Daylight,33.803444,-84.393116
8/20/13 21:19,Atlanta Police Department,Fulton,Atlanta,Meador Ave,Meador Way and Meador Ave,(C) Possible Injury / Complaint,Angle (Other),,"[""Intersection Related"",""Bicycle"",""Older Driver (55-64)""]",0,0,0,1,2,No Contributing Factors,,Clear,Dry,Dark-Lighted,33.697989,-84.380349
3/31/13 12:02,Atlanta Police Department,Fulton,Atlanta,Ivan Allen Jr Blvd,Sprng St and Ivan Allen Jr Blvd,(C) Possible Injury / Complaint,Angle (Other),,"[""Intersection Related"",""Hit & Run"",""Pedestrian""]",0,0,0,1,1,"[""Failure to Yield"",""No Contributing Factors""]",,Clear,Dry,Daylight,33.76465,-84.391179
7/18/13 15:55,Atlanta Police Department,Fulton,Atlanta,Martin L King Jr Dr,Bakers Ferry Rd and Martin L King Jr Dr,(O) No Injury,Not a Collision with Motor Vehicle,,"[""CMV Related"",""Roadway Departure"",""Pedestrian""]",0,0,0,0,2,"[""Misjudged Clearance"",""Misjudged Clearance"",""No Contributing Factors""]",,Clear,Dry,Daylight,33.761316,-84.507366
6/27/13 11:33,Atlanta Police Department,Fulton,Atlanta,Juniper St,4Th St and Juniper St,(C) Possible Injury / Complaint,Head On,,"[""Intersection Related"",""Pedestrian"",""Older Driver (55-64)""]",0,0,0,1,1,"[""Failure to Yield"",""No Contributing Factors""]",,Clear,Dry,Daylight,33.774815,-84.383077
1/14/13 11:00,Georgia Tech Police Department,Fulton,Atlanta,Ferst Dr,Ferst Dr and Cherry St,(C) Possible Injury / Complaint,Angle (Other),,Bicycle,0,0,0,1,2,"[""Failure to Yield"",""No Contributing Factors""]",,Rain,Wet,Daylight,33.773397,-84.399288
8/23/13 18:57,Atlanta Police Department,DeKalb,Atlanta,Dekalb Ave,Dekalb Ave and Rocky Ford Rd,(C) Possible Injury / Complaint,Sideswipe-Same Direction,,"[""Intersection Related"",""Bicycle""]",0,0,0,1,2,"[""Changed Lanes Improperly"",""No Contributing Factors""]",,Clear,Dry,Daylight,33.762909,-84.319769
3/8/13 13:00,Atlanta Police Department,Fulton,Atlanta,Peachtree Rd,Wieuca Rd and Peachtree Rd,(A) Suspected Serious Injury,Not a Collision with Motor Vehicle,,"[""Intersection Related"",""Pedestrian""]",0,1,0,0,1,"[""Failure to Yield"",""No Contributing Factors""]",,Clear,Dry,Daylight,33.853645,-84.359568
11/19/13 16:47,Atlanta Police Department,Fulton,Atlanta,Donald Lee Hollowell Pkwy,Chappell Rd and Donald Lee Hollowell Pkwy,(C) Possible Injury / Complaint,Not a Collision with Motor Vehicle,,"[""Intersection Related"",""Pedestrian"",""Distracted Driver (Suspected)""]",0,0,0,1,1,"[""No Contributing Factors"",""Other""]",,Clear,Dry,Daylight,33.771305,-84.434049
4/6/13 14:45,Atlanta Police Department,Fulton,Atlanta,Luckie St,Luckie St and Park Avenue W,(C) Possible Injury / Complaint,Angle (Other),,"[""Intersection Related"",""Roadway Departure"",""Hit & Run"",""Pedestrian""]",0,0,0,1,1,"[""Improper Backing"",""No Contributing Factors""]",,Clear,Dry,Daylight,33.76195,-84.395134
3/25/13 18:13,Atlanta Police Department,Fulton,Atlanta,Campbellton Rd,Childress Dr and Campbellton Rd,(B) Suspected Minor/Visible Injury,Not a Collision with Motor Vehicle,,"[""Intersection Related"",""Pedestrian""]",0,0,1,0,1,"[""Misjudged Clearance"",""No Contributing Factors""]",,Clear,Dry,Daylight,33.696002,-84.486243
5/11/13 10:45,Atlanta Police Department,Fulton,Atlanta,Juniper St,Juniper St and Ponce De Leon Ave,(B) Suspected Minor/Visible Injury,Head On,,"[""Intersection Related"",""Pedestrian""]",0,0,1,0,1,"[""Failure to Yield"",""No Contributing Factors""]",,Cloudy,Dry,Daylight,33.772425,-84.383296
5/6/13 15:51,Atlanta Police Department,Fulton,Atlanta,Joseph E Lowery Blvd,Proctor St and Joseph E Lowery Blvd,(B) Suspected Minor/Visible Injury,Not a Collision with Motor Vehicle,,"[""Intersection Related"",""Bicycle"",""Distracted Driver (Suspected)"",""Improper Occupant Protection""]",0,0,1,0,2,"[""No Contributing Factors"",""Other""]",,Cloudy,Dry,Daylight,33.764958,-84.417462
2/10/13 3:26,Atlanta Police Department,Fulton,Atlanta,Joseph E Lowery Blvd,Lena St and Joseph E Lowery Blvd,(A) Suspected Serious Injury,Sideswipe-Same Direction,,"[""Intersection Related"",""Hit & Run"",""Pedestrian"",""Improper Occupant Protection""]",0,1,0,0,1,"[""Failure to Yield"",""No Contributing Factors""]",,Clear,Dry,Dark-Lighted,33.756587,-84.417535
12/7/13 2:04,Atlanta Police Department,Fulton,Atlanta,112 11Th St,112 11Th St and Peachtree St,(C) Possible Injury / Complaint,Not a Collision with Motor Vehicle,,"[""Pedestrian"",""Distracted Driver (Suspected)""]",0,0,0,1,1,"[""No Contributing Factors"",""No Contributing Factors""]",,Cloudy,Wet,Dark-Lighted,33.783249,-84.384216
1/8/13 9:00,Atlanta Police Department,Fulton,Atlanta,303 Parkway Dr,,(O) No Injury,Not a Collision with Motor Vehicle,,"[""Pedestrian"",""Distracted Driver (Suspected)"",""Improper Occupant Protection""]",0,0,0,0,1,,,Clear,Dry,Daylight,33.762773,-84.37421
3/29/13 18:33,Atlanta Police Department,Fulton,Atlanta,1302 Piedmont Ave,,(B) Suspected Minor/Visible Injury,Sideswipe-Opposite Direction,,"[""Roadway Departure"",""Distracted Driver (Confirmed)"",""Hit & Run"",""Pedestrian""]",0,0,1,0,1,"[""Inattentive or Other Distraction (Distracted)"",""No Contributing Factors""]",,Cloudy,Dry,Dusk,33.790345,-84.375271
3/16/19 23:08,Atlanta Police Department,Fulton,Atlanta,Piedmont Rd,Main St and Piedmont Rd,(O) No Injury,Not a Collision with Motor Vehicle,,"[""Pedestrian"",""Young Adult Driver (Age 20-24)"",""Distracted Driver (Suspected)""]",0,0,0,0,1,,,Clear,Dry,Dark-Lighted,33.822969,-84.367303
2/24/19 10:49,Atlanta Police Department,Fulton,Atlanta,3330 Piedmont Rd Ne Kroger - Piedmont,Tower Pl and 3330 Piedmont Rd Ne Kroger - Piedmont,(O) No Injury,Not a Collision with Motor Vehicle,,"[""Distracted Driver (Confirmed)"",""Pedestrian"",""Older Driver (55-64)""]",0,0,0,0,1,,,Clear,Dry,Daylight,33.846089,-84.37261
9/27/16 16:20,Atlanta Police Department,Fulton,Atlanta,Baker Rd,Baker Rd and Centerhill Ave,(O) No Injury,Not a Collision with Motor Vehicle,,"[""Intersection Related"",""Roadway Departure"",""Pedestrian"",""Distracted Driver (Suspected)""]",0,0,0,0,1,"[""Improper Backing"",""No Contributing Factors""]",,Cloudy,Dry,Daylight,33.769584,-84.46375
8/26/17 15:31,Atlanta Police Department,Fulton,Atlanta,50 Mount Zion Rd,,(O) No Injury,Angle (Other),,"[""Intersection Related"",""Hit & Run"",""Pedestrian"",""Impaired (Suspected)""]",0,0,0,0,1,"[""No Contributing Factors"",""No Contributing Factors""]",,Clear,Dry,Daylight,33.672746,-84.388928
6/9/17 18:03,Atlanta Police Department,Fulton,Atlanta,Trinity Ave,Forsyth St and Trinity Ave,(O) No Injury,Not a Collision with Motor Vehicle,,"[""Intersection Related"",""Bicycle"",""Distracted Driver (Suspected)""]",0,0,0,0,2,"[""Following Too Close"",""No Contributing Factors""]",,Clear,Dry,Daylight,33.750618,-84.395104
11/21/17 17:18,Atlanta Police Department,Fulton,Atlanta,Moreland Dr,Moreland Dr and Mcdonough Blvd,(B) Suspected Minor/Visible Injury,Not a Collision with Motor Vehicle,,"[""Hit & Run"",""Pedestrian"",""Young Adult Driver (Age 20-24)""]",0,0,1,0,3,"[""Failure to Yield"",""No Contributing Factors"",""No Contributing Factors""]",,Clear,Dry,Daylight,33.708806,-84.359304
12/6/17 12:30,Atlanta Police Department,Fulton,Atlanta,Peachtree St,Mitchell St and Peachtree St,(C) Possible Injury / Complaint,Not a Collision with Motor Vehicle,,"[""Intersection Related"",""Pedestrian""]",0,0,0,1,1,"[""Failure to Yield"",""No Contributing Factors""]",,Rain,Dry,Daylight,33.750938,-84.393028
3/3/17 11:50,Atlanta Police Department,Fulton,Atlanta,Donald Lee Hollowell Pkwy,Fulton Industrial Blvd and Donald Lee Hollowell Pkwy,(O) No Injury,Not a Collision with Motor Vehicle,,"[""Intersection Related"",""Pedestrian"",""Improper Occupant Protection""]",0,0,0,0,1,Failure to Yield,,Clear,Dry,Daylight,33.789855,-84.496131
8/25/17 0:51,Atlanta Police Department,Fulton,Atlanta,Blvd,Blvd and Edgewood Ave,(B) Suspected Minor/Visible Injury,Not a Collision with Motor Vehicle,,"[""Intersection Related"",""Distracted Driver (Confirmed)"",""Pedestrian""]",0,0,1,0,1,"[""Inattentive or Other Distraction (Distracted)"",""No Contributing Factors""]",,Clear,Dry,Dark-Lighted,33.754312,-84.372151
3/3/17 15:07,Atlanta Police Department,Fulton,Atlanta,26 Forsyth St,,(C) Possible Injury / Complaint,Not a Collision with Motor Vehicle,,"[""Intersection Related"",""Pedestrian""]",0,0,0,1,1,"[""Failure to Yield"",""No Contributing Factors""]",,Clear,Dry,Daylight,33.753886,-84.392594
12/24/17 23:15,Atlanta Police Department,Fulton,Atlanta,Glenwood Ave,Moreland Ave and Glenwood Ave,(B) Suspected Minor/Visible Injury,Not a Collision with Motor Vehicle,,"[""Intersection Related"",""Pedestrian"",""Young Driver (Age 15-19)"",""Distracted Driver (Suspected)""]",0,0,1,0,1,"[""No Contributing Factors"",""Other""]",,Clear,Dry,Dark-Lighted,33.740237,-84.349268
9/20/17 1:00,Atlanta Police Department,Fulton,Atlanta,Cleveland Ave,Cleveland Ave and Old Hapeville Rd,(A) Suspected Serious Injury,Not a Collision with Motor Vehicle,,"[""Intersection Related"",""Pedestrian"",""Distracted Driver (Suspected)""]",0,1,0,0,1,,,Clear,Dry,Daylight,33.681119,-84.393704
7/19/17 8:00,Atlanta Police Department,Fulton,Atlanta,Peachtree Rd,Collier Rd and Peachtree Rd,(B) Suspected Minor/Visible Injury,Angle (Other),,"[""Intersection Related"",""Older Driver (65+)"",""Pedestrian""]",0,0,1,0,1,"[""Failure to Yield"",""No Contributing Factors""]",,Clear,Dry,Daylight,33.806699,-84.39389
12/13/17 19:13,Atlanta Police Department,Fulton,Atlanta,Courtland St,Linden Ave and Courtland St,(O) No Injury,Angle (Other),,"[""Intersection Related"",""Pedestrian"",""Older Driver (55-64)""]",0,0,0,0,1,"[""No Contributing Factors"",""No Contributing Factors""]",,Clear,Dry,Dark-Lighted,33.769762,-84.384072
12/19/17 17:32,Atlanta Police Department,Fulton,Atlanta,Oak Valley Rd,Pritchard Way and Oak Valley Rd,Unknown,Not a Collision with Motor Vehicle,,"[""Intersection Related"",""Aggressive Driving"",""Older Driver (65+)"",""Pedestrian""]",0,0,0,0,1,"[""No Contributing Factors"",""Other""]",,Clear,Dry,Daylight,33.850532,-84.360078
1/17/17 7:25,Atlanta Police Department,Fulton,Atlanta,Biggers St,Grant St and Biggers St,(C) Possible Injury / Complaint,Not a Collision with Motor Vehicle,,"[""Intersection Related"",""Pedestrian""]",0,0,0,1,1,"[""Misjudged Clearance"",""No Contributing Factors""]",,Clear,Dry,Daylight,33.748119,-84.376616
